,rank,Company,Symbol,Weight,Price,Chg,% Chg
0,1,Microsoft Corporation,MSFT,4.365224,144.0,-0.61,(-0.42%)
1,2,Apple Inc.,AAPL,4.085425,248.66,5.4,(2.22%)
2,3,Amazon.com Inc.,AMZN,2.923959,1779.93,-0.06,(-0.00%)
3,4,Facebook Inc. Class A,FB,1.790668,194.08,5.83,(3.10%)
4,5,Berkshire Hathaway Inc. Class B,BRK.B,1.653313,212.78,-0.47,(-0.22%)
5,6,JPMorgan Chase & Co.,JPM,1.589612,124.72,-1.01,(-0.80%)
6,7,Alphabet Inc. Class C,GOOG,1.507165,1254.47,-6.82,(-0.54%)
7,8,Alphabet Inc. Class A,GOOGL,1.493132,1252.99,-7.71,(-0.61%)
8,9,Johnson & Johnson,JNJ,1.386211,131.59,-1.25,(-0.94%)
9,10,Procter & Gamble Company,PG,1.236798,123.48,-1.47,(-1.17%)
10,11,Visa Inc. Class A,V,1.224073,178.69,-0.56,(-0.31%)
11,12,Exxon Mobil Corporation,XOM,1.13338,67.52,-0.2,(-0.30%)
12,13,AT&T Inc.,T,1.104098,38.16,-0.05,(-0.12%)
13,14,Bank of America Corp,BAC,1.047805,31.08,-0.54,(-1.71%)
14,15,Home Depot Inc.,HD,1.023122,235.51,-0.73,(-0.31%)
15,16,Verizon Communications Inc.,VZ,0.995021,60.26,-0.56,(-0.92%)
16,17,Intel Corporation,INTC,0.991801,55.87,-0.74,(-1.30%)
17,18,Mastercard Incorporated Class A,MA,0.978704,277.28,0.13,(0.05%)
18,19,UnitedHealth Group Incorporated,UNH,0.954306,251.47,-3.33,(-1.31%)
19,20,Walt Disney Company,DIS,0.923447,129.1,-0.51,(-0.39%)
20,21,Chevron Corporation,CVX,0.873573,116.15,-0.21,(-0.18%)
21,22,Merck & Co. Inc.,MRK,0.873206,86.63,0.41,(0.47%)
22,23,Pfizer Inc.,PFE,0.841953,38.47,-0.02,(-0.04%)
23,24,Wells Fargo & Company,WFC,0.825193,51.38,-0.65,(-1.25%)
24,25,Coca-Cola Company,KO,0.821107,53.93,-0.01,(-0.02%)
25,26,Comcast Corporation Class A,CMCSA,0.801761,44.21,-0.48,(-1.07%)
26,27,Cisco Systems Inc.,CSCO,0.798641,47.44,-0.12,(-0.25%)
27,28,PepsiCo Inc.,PEP,0.756829,136.32,-0.58,(-0.42%)
28,29,Boeing Company,BA,0.731748,341.88,-4.18,(-1.21%)
29,30,Walmart Inc.,WMT,0.664348,117.56,-0.54,(-0.46%)
30,31,Citigroup Inc.,C,0.652042,71.96,-1.02,(-1.39%)
31,32,McDonald's Corporation,MCD,0.591447,195.98,-0.91,(-0.46%)
32,33,Abbott Laboratories,ABT,0.587318,83.13,-0.88,(-1.05%)
33,34,Medtronic Plc,MDT,0.576072,108.13,-0.42,(-0.39%)
34,35,salesforce.com inc.,CRM,0.549071,156.92,-1.37,(-0.86%)
35,36,Adobe Inc.,ADBE,0.534479,277.18,-1.23,(-0.44%)
36,37,Costco Wholesale Corporation,COST,0.521591,297.4,-1.79,(-0.60%)
37,38,Netflix Inc.,NFLX,0.504749,287.91,-3.54,(-1.21%)
38,39,Amgen Inc.,AMGN,0.50023,213.45,2.57,(1.22%)
39,40,Philip Morris International Inc.,PM,0.499785,81.14,-0.07,(-0.09%)
40,41,Honeywell International Inc.,HON,0.496913,172.39,-2.21,(-1.27%)
41,42,PayPal Holdings Inc,PYPL,0.495688,104.29,-2.21,(-2.08%)
42,43,NVIDIA Corporation,NVDA,0.487587,200.55,-2.45,(-1.21%)
43,44,Thermo Fisher Scientific Inc.,TMO,0.478205,301.15,-0.71,(-0.24%)
44,45,Oracle Corporation,ORCL,0.477673,54.37,-0.48,(-0.87%)
45,46,International Business Machines Corporation,IBM,0.473923,133.95,-1.3,(-0.96%)
46,47,Accenture Plc Class A,ACN,0.46932,185.66,-0.92,(-0.49%)
47,48,Union Pacific Corporation,UNP,0.467929,165.31,-2.64,(-1.57%)
48,49,AbbVie Inc.,ABBV,0.46442,79.35,-0.31,(-0.40%)
49,50,United Technologies Corporation,UTX,0.460141,143.48,-0.37,(-0.25%)
50,51,Broadcom Inc.,AVGO,0.457001,290.8,0.56,(0.19%)
51,52,NextEra Energy Inc.,NEE,0.455221,237.09,1.63,(0.69%)
52,53,NIKE Inc. Class B,NKE,0.446494,89.5,-0.7,(-0.77%)
53,54,Texas Instruments Incorporated,TXN,0.434889,117.63,-0.16,(-0.14%)
54,55,Linde plc,LIN,0.425826,197.66,-1.53,(-0.77%)
55,56,Starbucks Corporation,SBUX,0.398618,83.88,-0.31,(-0.37%)
56,57,QUALCOMM Incorporated,QCOM,0.390453,80.19,-1.25,(-1.53%)
57,58,3M Company,MMM,0.38277,165.59,-2.78,(-1.65%)
58,59,American Tower Corporation,AMT,0.380396,217.2,-0.04,(-0.02%)
59,60,Eli Lilly and Company,LLY,0.378796,113.75,1.03,(0.91%)
60,61,Lockheed Martin Corporation,LMT,0.372197,377.64,-1.0,(-0.26%)
61,62,Bristol-Myers Squibb Company,BMY,0.366874,57.59,0.72,(1.26%)
62,63,Danaher Corporation,DHR,0.349156,136.88,-1.37,(-0.99%)
63,64,General Electric Company,GE,0.347711,10.02,-0.1,(-0.94%)
64,65,CVS Health Corporation,CVS,0.344914,65.88,-1.17,(-1.74%)
65,66,Booking Holdings Inc.,BKNG,0.344665,2047.43,-2.12,(-0.10%)
66,67,Lowe's Companies Inc.,LOW,0.339731,111.76,0.48,(0.43%)
67,68,Altria Group Inc,MO,0.339115,45.71,-0.26,(-0.55%)
68,69,U.S. Bancorp,USB,0.323991,56.71,-0.42,(-0.73%)
69,70,United Parcel Service Inc. Class B,UPS,0.322868,114.96,-1.93,(-1.65%)
70,71,Fidelity National Information Services Inc.,FIS,0.320218,131.46,-0.5,(-0.38%)
71,72,American Express Company,AXP,0.317654,117.47,-0.61,(-0.51%)
72,73,Gilead Sciences Inc.,GILD,0.316677,63.76,0.61,(0.96%)
73,74,Caterpillar Inc.,CAT,0.312301,137.18,-3.16,(-2.25%)
74,75,Celgene Corporation,CELG,0.300444,107.98,0.81,(0.76%)
75,76,Charter Communications Inc. Class A,CHTR,0.299796,465.99,-2.79,(-0.60%)
76,77,Mondelez International Inc. Class A,MDLZ,0.296802,52.28,0.25,(0.47%)
77,78,CME Group Inc. Class A,CME,0.289375,206.14,1.17,(0.57%)
78,79,Automatic Data Processing Inc.,ADP,0.281784,161.27,-2.88,(-1.75%)
79,80,TJX Companies Inc,TJX,0.280061,58.12,-0.44,(-0.75%)
80,81,Anthem Inc.,ANTM,0.276633,269.3,-4.16,(-1.52%)
81,82,Chubb Limited,CB,0.276416,150.9,-2.47,(-1.61%)
82,83,Goldman Sachs Group Inc.,GS,0.276242,212.86,-2.95,(-1.37%)
83,84,Stryker Corporation,SYK,0.275533,215.21,-1.88,(-0.87%)
84,85,Becton Dickinson and Company,BDX,0.272305,255.05,-0.91,(-0.35%)
85,86,Duke Energy Corporation,DUK,0.269928,93.79,-0.22,(-0.23%)
86,87,Intuit Inc.,INTU,0.26776,258.78,-1.51,(-0.58%)
87,88,Dominion Energy Inc,D,0.265973,81.91,0.1,(0.12%)
88,89,Cigna Corporation,CI,0.263673,175.73,-0.71,(-0.40%)
89,90,PNC Financial Services Group Inc.,PNC,0.260219,146.36,-1.39,(-0.94%)
90,91,Southern Company,SO,0.258939,62.43,-0.2,(-0.32%)
91,92,Intuitive Surgical Inc.,ISRG,0.253136,551.41,-4.91,(-0.88%)
92,93,S&P Global Inc.,SPGI,0.246973,257.86,3.21,(1.26%)
93,94,ConocoPhillips,COP,0.241691,54.91,-0.13,(-0.24%)
94,95,Zoetis Inc. Class A,ZTS,0.240218,127.53,-0.07,(-0.05%)
95,96,Fiserv Inc.,FISV,0.238725,106.29,-0.01,(-0.01%)
96,97,Raytheon Company,RTN,0.235262,214.43,0.11,(0.05%)
97,98,Colgate-Palmolive Company,CL,0.232332,68.0,-0.58,(-0.85%)
98,99,Boston Scientific Corporation,BSX,0.230411,41.81,-0.2,(-0.48%)
99,100,Morgan Stanley,MS,0.22985,45.77,-0.49,(-1.05%)
100,101,Crown Castle International Corp,CCI,0.228158,139.39,0.14,(0.10%)
101,102,Allergan plc,AGN,0.22809,175.89,0.1,(0.06%)
102,103,CSX Corporation,CSX,0.224316,70.28,-0.77,(-1.08%)
103,104,Northrop Grumman Corporation,NOC,0.220432,352.44,-1.65,(-0.46%)
104,105,Biogen Inc.,BIIB,0.21879,298.79,-1.1,(-0.37%)
105,106,Target Corporation,TGT,0.218548,106.41,-1.52,(-1.41%)
106,107,Prologis Inc.,PLD,0.217964,88.34,0.66,(0.75%)
107,108,BlackRock Inc.,BLK,0.216958,460.6,-6.34,(-1.36%)
108,109,Deere & Company,DE,0.216438,173.06,-0.76,(-0.44%)
109,110,Micron Technology Inc.,MU,0.209418,47.21,-0.67,(-1.40%)
110,111,Marsh & McLennan Companies Inc.,MMC,0.207293,102.95,-0.58,(-0.56%)
111,112,Phillips 66,PSX,0.206604,115.5,-0.95,(-0.82%)
112,113,Intercontinental Exchange Inc.,ICE,0.206504,94.2,1.02,(1.09%)
113,114,Vertex Pharmaceuticals Incorporated,VRTX,0.201758,199.68,0.4,(0.20%)
114,115,Applied Materials Inc.,AMAT,0.201733,54.23,-0.98,(-1.78%)
115,116,Illinois Tool Works Inc.,ITW,0.198184,168.23,-1.98,(-1.16%)
116,117,Edwards Lifesciences Corporation,EW,0.197062,237.17,-1.97,(-0.82%)
117,118,Global Payments Inc.,GPN,0.196461,169.16,3.62,(2.19%)
118,119,DuPont de Nemours Inc.,DD,0.193811,66.51,0.92,(1.40%)
119,120,Norfolk Southern Corporation,NSC,0.192699,182.04,-2.01,(-1.09%)
120,121,Ecolab Inc.,ECL,0.191822,191.65,-2.06,(-1.06%)
121,122,Equinix Inc.,EQIX,0.191623,558.53,-12.63,(-2.21%)
122,123,Sherwin-Williams Company,SHW,0.19039,580.14,-6.09,(-1.04%)
123,124,Charles Schwab Corporation,SCHW,0.190055,40.49,-0.81,(-1.96%)
124,125,General Motors Company,GM,0.188404,37.16,-0.76,(-1.99%)
125,126,Air Products and Chemicals Inc.,APD,0.188018,214.02,-2.72,(-1.25%)
126,127,Simon Property Group Inc.,SPG,0.183634,150.84,-0.34,(-0.22%)
127,128,L3Harris Technologies Inc,LHX,0.183545,207.56,-0.26,(-0.13%)
128,129,American Electric Power Company Inc.,AEP,0.182518,93.73,-0.37,(-0.39%)
129,130,Kimberly-Clark Corporation,KMB,0.181625,132.44,-1.23,(-0.92%)
130,131,Aon plc,AON,0.181582,193.22,-0.99,(-0.51%)
131,132,American International Group Inc.,AIG,0.180457,52.16,-0.45,(-0.86%)
132,133,Schlumberger NV,SLB,0.180378,32.86,-0.24,(-0.73%)
133,134,Exelon Corporation,EXC,0.179078,45.73,-0.93,(-1.99%)
134,135,Capital One Financial Corporation,COF,0.175475,93.17,-1.36,(-1.44%)
135,136,Waste Management Inc.,WM,0.173983,112.01,-0.66,(-0.59%)
136,137,Marathon Petroleum Corporation,MPC,0.172318,63.81,-2.38,(-3.60%)
137,138,Emerson Electric Co.,EMR,0.172174,69.91,-1.12,(-1.58%)
138,139,Illumina Inc.,ILMN,0.171367,299.12,2.61,(0.88%)
139,140,Activision Blizzard Inc.,ATVI,0.16917,55.47,-0.4,(-0.72%)
140,141,Estee Lauder Companies Inc. Class A,EL,0.169115,182.85,-10.42,(-5.39%)
141,142,Walgreens Boots Alliance Inc,WBA,0.167627,54.31,-1.55,(-2.77%)
142,143,General Dynamics Corporation,GD,0.16497,176.72,-1.52,(-0.85%)
143,144,Dollar General Corporation,DG,0.164316,160.2,-1.43,(-0.88%)
144,145,BB&T Corporation,BBT,0.162491,52.9,-0.78,(-1.45%)
145,146,Valero Energy Corporation,VLO,0.161926,96.87,-1.94,(-1.96%)
146,147,Sysco Corporation,SYY,0.161677,79.48,-0.17,(-0.21%)
147,148,Progressive Corporation,PGR,0.159279,69.19,-0.19,(-0.27%)
148,149,EOG Resources Inc.,EOG,0.159239,68.91,-0.72,(-1.03%)
149,150,Ross Stores Inc.,ROST,0.159105,109.94,-0.38,(-0.34%)
150,151,Lam Research Corporation,LRCX,0.158684,269.2,-8.37,(-3.01%)
151,152,Analog Devices Inc.,ADI,0.158212,105.93,-2.32,(-2.14%)
152,153,Bank of New York Mellon Corporation,BK,0.158186,46.51,-0.11,(-0.24%)
153,154,Humana Inc.,HUM,0.156661,293.07,-1.13,(-0.38%)
154,155,Aflac Incorporated,AFL,0.156232,53.0,-0.36,(-0.67%)
155,156,Baxter International Inc.,BAX,0.155263,76.63,-0.25,(-0.33%)
156,157,Kinder Morgan Inc Class P,KMI,0.153121,19.91,-0.1,(-0.47%)
157,158,Sempra Energy,SRE,0.152547,142.89,1.33,(0.94%)
158,159,Dow Inc.,DOW,0.149983,49.98,-1.05,(-2.06%)
159,160,FedEx Corporation,FDX,0.147101,153.09,-2.75,(-1.76%)
160,161,Prudential Financial Inc.,PRU,0.146752,90.37,-1.94,(-2.10%)
161,162,Eaton Corp. Plc,ETN,0.146579,86.41,-1.13,(-1.29%)
162,163,Occidental Petroleum Corporation,OXY,0.145914,40.68,-0.68,(-1.64%)
163,164,MetLife Inc.,MET,0.145744,46.28,-0.01,(-0.02%)
164,165,Welltower Inc.,WELL,0.144789,90.7,0.24,(0.27%)
165,166,Advanced Micro Devices Inc.,AMD,0.142257,34.05,0.92,(2.78%)
166,167,HCA Healthcare Inc,HCA,0.141425,132.62,-2.15,(-1.60%)
167,168,Moody's Corporation,MCO,0.140422,221.25,3.01,(1.38%)
168,169,Roper Technologies Inc.,ROP,0.138836,334.08,-4.21,(-1.24%)
169,170,Marriott International Inc. Class A,MAR,0.136692,125.85,-0.6,(-0.47%)
170,171,Allstate Corporation,ALL,0.136651,105.34,0.39,(0.37%)
171,172,Johnson Controls International plc,JCI,0.13591,43.14,-0.07,(-0.16%)
172,173,Travelers Companies Inc.,TRV,0.134039,129.8,0.02,(0.02%)
173,174,Ford Motor Company,F,0.132275,8.56,0.02,(0.18%)
174,175,O'Reilly Automotive Inc.,ORLY,0.132168,433.08,-3.61,(-0.83%)
175,176,Public Storage,PSA,0.131722,224.83,1.57,(0.70%)
176,177,Xcel Energy Inc.,XEL,0.131333,63.26,-0.06,(-0.09%)
177,178,Cognizant Technology Solutions Corporation Class A,CTSH,0.130836,61.58,1.69,(2.82%)
178,179,Autodesk Inc.,ADSK,0.129174,146.35,-2.43,(-1.63%)
179,180,Delta Air Lines Inc.,DAL,0.126631,55.0,-0.33,(-0.59%)
180,181,Constellation Brands Inc. Class A,STZ,0.126574,189.85,-1.69,(-0.88%)
181,182,Newmont Goldcorp Corporation,NEM,0.126083,39.26,0.22,(0.56%)
182,183,Public Service Enterprise Group Inc,PEG,0.125672,63.49,0.26,(0.41%)
183,184,Yum! Brands Inc.,YUM,0.1245,100.56,-2.78,(-2.69%)
184,185,Equity Residential,EQR,0.122512,88.8,-0.06,(-0.06%)
185,186,Ingersoll-Rand Plc,IR,0.121858,126.17,-1.62,(-1.27%)
186,187,AvalonBay Communities Inc.,AVB,0.120684,218.68,-0.3,(-0.14%)
187,188,SunTrust Banks Inc.,STI,0.120657,68.21,-1.03,(-1.49%)
188,189,Consolidated Edison Inc.,ED,0.120436,91.53,-0.13,(-0.14%)
189,190,TE Connectivity Ltd.,TEL,0.120024,88.79,-1.36,(-1.51%)
190,191,General Mills Inc.,GIS,0.120017,50.62,-0.1,(-0.19%)
191,192,Amphenol Corporation Class A,APH,0.119037,99.68,-1.15,(-1.14%)
192,193,PPG Industries Inc.,PPG,0.117556,125.23,-0.75,(-0.60%)
193,194,WEC Energy Group Inc,WEC,0.116306,94.06,0.27,(0.29%)
194,195,ONEOK Inc.,OKE,0.113822,69.63,-0.36,(-0.51%)
195,196,Electronic Arts Inc.,EA,0.112722,96.1,-0.62,(-0.64%)
196,197,eBay Inc.,EBAY,0.11184,35.26,-0.61,(-1.69%)
197,198,AutoZone Inc.,AZO,0.111365,1142.95,-5.55,(-0.48%)
198,199,IHS Markit Ltd.,INFO,0.111248,69.81,-0.31,(-0.44%)
199,200,Zimmer Biomet Holdings Inc.,ZBH,0.110983,137.26,-0.81,(-0.58%)
200,201,Hilton Worldwide Holdings Inc,HLT,0.110401,97.12,-0.21,(-0.21%)
201,202,T. Rowe Price Group,TROW,0.109884,115.91,-1.66,(-1.41%)
202,203,Southwest Airlines Co.,LUV,0.109125,56.04,-1.0,(-1.75%)
203,204,Williams Companies Inc.,WMB,0.10899,22.32,-0.57,(-2.49%)
204,205,Cummins Inc.,CMI,0.108965,171.75,-2.84,(-1.63%)
205,206,KLA Corporation,KLAC,0.108923,166.36,-6.6,(-3.82%)
206,207,SBA Communications Corp. Class A,SBAC,0.107879,240.78,-1.11,(-0.46%)
207,208,Motorola Solutions Inc.,MSI,0.107695,165.76,0.4,(0.24%)
208,209,Paychex Inc.,PAYX,0.106522,83.59,-0.44,(-0.52%)
209,210,Digital Realty Trust Inc.,DLR,0.105754,126.81,-2.6,(-2.01%)
210,211,Eversource Energy,ES,0.105653,83.51,0.27,(0.32%)
211,212,V.F. Corporation,VFC,0.105642,82.36,0.03,(0.04%)
212,213,IQVIA Holdings Inc,IQV,0.105021,143.65,-2.09,(-1.43%)
213,214,Dollar Tree Inc.,DLTR,0.104871,110.25,-1.81,(-1.62%)
214,215,TransDigm Group Incorporated,TDG,0.104457,528.83,-3.13,(-0.59%)
215,216,PACCAR Inc,PCAR,0.104025,75.74,-0.73,(-0.95%)
216,217,T-Mobile US Inc.,TMUS,0.103706,82.16,-1.11,(-1.33%)
217,218,HP Inc.,HPQ,0.103282,17.35,-0.27,(-1.53%)
218,219,FirstEnergy Corp.,FE,0.102182,48.05,0.21,(0.44%)
219,220,Discover Financial Services,DFS,0.10215,79.88,-1.27,(-1.57%)
220,221,Realty Income Corporation,O,0.101974,81.48,-0.23,(-0.28%)
221,222,FleetCor Technologies Inc.,FLT,0.101966,295.88,-4.15,(-1.38%)
222,223,McKesson Corporation,MCK,0.100045,132.81,-3.99,(-2.91%)
223,224,State Street Corporation,STT,0.098399,65.9,-0.82,(-1.23%)
224,225,Parker-Hannifin Corporation,PH,0.098323,184.28,-9.67,(-4.98%)
225,226,Regeneron Pharmaceuticals Inc.,REGN,0.098295,310.7,-0.3,(-0.10%)
226,227,Ball Corporation,BLL,0.097108,70.61,-3.35,(-4.53%)
227,228,Willis Towers Watson Public Limited Company,WLTW,0.096565,186.66,-3.58,(-1.88%)
228,229,Entergy Corporation,ETR,0.095602,121.16,-0.4,(-0.33%)
229,230,Verisk Analytics Inc,VRSK,0.095388,145.97,-1.95,(-1.32%)
230,231,Tyson Foods Inc. Class A,TSN,0.095313,82.58,0.79,(0.97%)
231,232,PPL Corporation,PPL,0.094966,33.3,0.01,(0.03%)
232,233,Ventas Inc.,VTR,0.094767,64.81,-0.1,(-0.15%)
233,234,Corning Inc,GLW,0.094004,29.84,-0.55,(-1.81%)
234,235,Alexion Pharmaceuticals Inc.,ALXN,0.09387,106.07,-0.18,(-0.17%)
235,236,Aptiv PLC,APTV,0.093633,90.9,-1.52,(-1.64%)
236,237,LyondellBasell Industries NV,LYB,0.093613,90.47,-1.21,(-1.32%)
237,238,Agilent Technologies Inc.,A,0.093177,75.5,-0.62,(-0.81%)
238,239,IDEXX Laboratories Inc.,IDXX,0.092781,284.1,10.25,(3.74%)
239,240,DTE Energy Company,DTE,0.09168,126.85,-0.15,(-0.12%)
240,241,Stanley Black & Decker Inc.,SWK,0.091614,151.19,-2.27,(-1.48%)
241,242,Xilinx Inc.,XLNX,0.091303,90.98,-0.29,(-0.31%)
242,243,Twitter Inc.,TWTR,0.091302,29.47,-0.4,(-1.32%)
243,244,Cintas Corporation,CTAS,0.090691,271.91,-4.35,(-1.57%)
244,245,Archer-Daniels-Midland Company,ADM,0.089378,41.73,1.2,(2.95%)
245,246,Microchip Technology Incorporated,MCHP,0.088898,94.01,-1.39,(-1.46%)
246,247,Edison International,EIX,0.088045,62.67,0.51,(0.82%)
247,248,Weyerhaeuser Company,WY,0.087945,29.4,-0.64,(-2.11%)
248,249,Centene Corporation,CNC,0.087801,53.14,-0.9,(-1.67%)
249,250,American Water Works Company Inc.,AWK,0.0861,122.9,1.93,(1.60%)
250,251,Hershey Company,HSY,0.086008,146.01,0.04,(0.03%)
251,252,Synchrony Financial,SYF,0.085926,35.09,-0.5,(-1.40%)
252,253,Monster Beverage Corporation,MNST,0.085905,55.73,-0.42,(-0.75%)
253,254,Northern Trust Corporation,NTRS,0.085856,99.37,-1.66,(-1.64%)
